url,quantity_sold
https://www.lazada.vn/products/kem-duong-am-duong-am-chuyen-sau-voi-coenzym-q10-ngua-lao-hoa-da-to-tam-co-mem-50g-i1720644576.html,2500
https://www.lazada.vn/products/tinh-chat-balance-active-formula-collagen-peptides-double-booster-30ml-i1838128428.html,171
https://www.lazada.vn/products/8-pha-daily-glowing-essence-150-ml-nuoc-duong-sang-tay-tbc-ngua-mun-cho-da-bibala-i2604511488.html,91
https://www.lazada.vn/products/hang-tang-khong-ban-tinh-chat-giam-tham-nam-chuyen-biet-cho-da-nhon-hon-hop-eucerin-crystal-booster-serum-7ml-i2128158444.html,4800
https://www.lazada.vn/products/kem-duong-da-phuc-hoi-ban-dem-cao-cap-hoi-phuc-lan-da-thieu-suc-songmat-ngu-ket-hop-mui-huong-giup-de-ngu-thu-thai-dermalogica-sound-sleep-cocoon-50ml-i1398064413.html,9
https://www.lazada.vn/products/kem-derma-doctor-collagen-nam-sam-tan-nhang-i1551187723.html,120
https://www.lazada.vn/products/serum-giam-mun-va-duong-da-30-ngay-some-by-mi-aha-bha-pha-30-days-miracle-50ml-i886374919.html,867
https://www.lazada.vn/products/dung-dich-cham-mun-bi-dao-cocoon-sach-mun-ngan-ngua-mun-5ml-i580112783.html,3700
https://www.lazada.vn/products/seum-vitamin-c-10-duong-trang-mo-tham-sam-acnes-lab-c10-serum-15ml-i1216360.html,4000
https://www.lazada.vn/products/serum-cham-mun-chuyen-biet-cho-da-mun-o-tuoi-truong-thanh-acnes-25-facial-serum-20ml-i1216362.html,3400
https://www.lazada.vn/products/sum37-tinh-chat-vang-sum-dem-sum37-losec-summa-elixir-night-1ml-tai-sinh-chong-lao-chuyen-sau-lam-sang-min-da-i1977498743.html,199
https://www.lazada.vn/products/tinh-chat-duong-trang-da-mo-sam-nam-tham-mun-chong-lao-hoa-ngan-ngua-tang-sac-to-melanin-phuc-hoi-tai-tao-cau-truc-da-sennio-30ml-intensive-whitening-dual-serum-sno809-i1769544942.html,123
https://www.lazada.vn/products/tinh-chat-vitamin-c-skinceuticals-c-e-ferulic-ho-tro-ngan-ngua-tinh-trang-oxy-hoa-tren-da-giup-lan-da-tro-nen-khoe-manh-va-san-chac-hon-30ml-i1313970602.html,1600
https://www.lazada.vn/products/serum-the-ordinary-niacinamide-10-zinc-1-giam-mun-mo-tham-30ml-i1441746889.html,281
https://www.lazada.vn/products/xit-khoang-duong-am-tu-tra-xanh-innisfree-green-tea-hyaluronic-mist-i263352418.html,586
https://www.lazada.vn/products/bo-giai-phap-lam-mo-dom-nau-dermalogica-dark-spot-solutions-kit-i2138755716.html,14
https://www.lazada.vn/products/tinh-chat-cang-bong-thu-nho-lo-chan-long-whoo-bicheop-4ml-i2308051309.html,10
https://www.lazada.vn/products/tinh-chat-skin1004-madagascar-centella-tone-brightening-capsule-ampoule-100ml-i1601074794.html,532
https://www.lazada.vn/products/tinh-chat-duong-da-chuyen-sau-giup-lam-mo-dom-nau-laneige-radian-c-spot-serum-10g-i1869777875.html,1600
https://www.lazada.vn/products/drceutics-tinh-chat-hyaluronic-acid-ha-cap-am-va-cang-bong-da-30g-100g-i2276434521.html,42
https://www.lazada.vn/products/hang-cong-ty-tinh-chat-lam-diu-phuc-hoi-tre-hoa-da-huyet-tuong-evenswiss-regenerating-plasma-50ml-i2024782618.html,32
https://www.lazada.vn/products/serum-senka-deep-moist-3x-ha-cap-am-chuyen-sau-cai-thien-nep-nhan-30ml-i2034744241.html,8
https://www.lazada.vn/products/nuoc-can-bang-ngan-ngua-lao-hoa-chuyen-sau-innisfree-perfect-9-intensive-skin-i2541792604.html,25
https://www.lazada.vn/products/date-2026-1-hoac-4-goi-serum-tinh-chat-sulwhasoo-hac-linh-chi-den-chong-lao-hoa-dinh-cao-sulwhasoo-honorstige-serum-1ml-i1306143537.html,1400
https://www.lazada.vn/products/kem-lam-se-khit-lo-chan-long-va-giam-dau-cho-da-nhon-bioderma-sebium-pore-refiner-30ml-i457122937.html,95
https://www.lazada.vn/products/tinh-chat-duong-trang-chong-lao-hoa-nuoi-duong-lan-da-some-by-mi-galactomyces-pure-vitamin-c-glow-serum-30ml-i2007652547.html,17
https://www.lazada.vn/products/kem-xoa-mo-nam-tan-nhang-magic-princess-white-herskin-20gr-loai-bo-chan-nam-va-nam-sau-tu-ben-trong-i1526073501.html,366
https://www.lazada.vn/products/drceutics-tinh-chat-hyaluronic-acid-ha-cap-am-va-cang-bong-da-30g-100g-i2279898939.html,57
https://www.lazada.vn/products/phien-ban-nang-cap-nuoc-hoa-hong-lam-sach-duong-am-chiet-xuat-cay-phi-derladie-natural-witch-hazel-toner-500ml-i2007554406.html,24
https://www.lazada.vn/products/kem-duong-trang-va-giam-nep-nhan-rebirth-100ml-i516648038.html,205
https://www.lazada.vn/products/dung-dich-ve-sinh-tai-cho-cho-meo-i1621650952.html,22
https://www.lazada.vn/products/combo-trang-da-cang-muot-serum-vitamin-c-serum-hyaluronic-balance-active-formula-30ml-chai-i803938571.html,5500
https://www.lazada.vn/products/drceutics-tinh-chat-niacinamide-drceutics-intensive-niacinamide-20-mo-tham-sang-da-30g-100g-i2276432908.html,83
https://www.lazada.vn/products/hoan-tien-20-tay-da-chet-hoa-hoc-the-ordinary-aha-30-bha-2-peeling-solution-bill-anh-i260088276.html,836
https://www.lazada.vn/products/serum-arbutin-deleventh-voi-chiet-xuat-tu-alpha-giup-trang-da-giam-tham-duong-am-va-phuc-hoi-da-37ml-i2400981079.html,324
